S12A2_HUMAN	P55011
SCRN3_HUMAN	Q0VDG4
IGHG1_HUMAN;IGHG3_HUMAN	P01857
HSDL2_HUMAN	Q6YN16
IL16_HUMAN	Q14005
F126B_HUMAN	Q8IXS8
SMRC1_HUMAN;SMRC2_HUMAN	Q92922
SARM1_HUMAN	Q6SZW1
GALT_HUMAN	P07902
PGAM1_HUMAN;PGAM2_HUMAN;PGAM4_HUMAN	P18669
PGAM1_HUMAN	P18669
TYPH_HUMAN	P19971
MAP4_HUMAN	P27816
HP1B3_HUMAN	Q5SSJ5
ELMO2_HUMAN	Q96JJ3
TRAD1_HUMAN	O14545
SGPL1_HUMAN	O95470
ZC3H4_HUMAN	Q9UPT8
TSC2_HUMAN	P49815
ARK72_HUMAN	O43488
CENPP_HUMAN	Q6IPU0
ALDOC_HUMAN	P09972
PRP19_HUMAN	Q9UMS4
RPR1A_HUMAN	Q96P16
RPR1B_HUMAN	Q9NQG5
DDAH2_HUMAN	O95865
MA7D2_HUMAN	Q96T17
SHIP2_HUMAN	O15357
ANGT_HUMAN	P01019
GRAP1_HUMAN	Q4V328
DDX42_HUMAN	Q86XP3
CC136_HUMAN	Q96JN2
TCPZ_HUMAN	P40227
ENOF1_HUMAN	Q7L5Y1
DNM1L_HUMAN	O00429
AP2B1_HUMAN	P63010
CARL3_HUMAN	Q8ND23
GAPD1_HUMAN	Q14C86
GLSL_HUMAN	Q9UI32
T126A_HUMAN	Q9H061
HGS_HUMAN	O14964
CACP_HUMAN	P43155
SNX9_HUMAN	Q9Y5X1
EPIPL_HUMAN	P58107
TRADD_HUMAN	Q15628
PSA1_HUMAN	P25786
HNRPK_HUMAN	P61978
CTND1_HUMAN	O60716
RAVR1_HUMAN	Q8IY67
PRA17_HUMAN	Q5VTA0
CNNM3_HUMAN	Q8NE01
GLYC_HUMAN	P34896
NDUS1_HUMAN	P28331
LRC8B_HUMAN	Q6P9F7
LRC8A_HUMAN	Q8IWT6
SC65_HUMAN	Q92791
HBS1L_HUMAN	Q9Y450
CD44_HUMAN	P16070
MCF2L_HUMAN	O15068
UBQL1_HUMAN;UBQL4_HUMAN	Q9UMX0
ITA2B_HUMAN	P08514
SNX1_HUMAN;SNX2_HUMAN	Q13596
HSPB1_HUMAN	P04792
MPRI_HUMAN	P11717
COG6_HUMAN	Q9Y2V7
SELB_HUMAN	P57772
TBB1_HUMAN	Q9H4B7
RIOX1_HUMAN	Q9H6W3
SCFD1_HUMAN	Q8WVM8
GRAN_HUMAN	P28676
IRS2_HUMAN	Q9Y4H2
ESYT1_HUMAN	Q9BSJ8
EPN2_HUMAN	O95208
ENDD1_HUMAN	O94919
EIPR1_HUMAN	Q53HC9
MYADM_HUMAN	Q96S97
RPN1_HUMAN	P04843
MOES_HUMAN	P26038
MAOM_HUMAN	P23368
CUL2_HUMAN	Q13617
ELMO1_HUMAN	Q92556
SORCN_HUMAN	P30626
TBB8_HUMAN	Q3ZCM7
TBB8B_HUMAN;TBB8_HUMAN	A6NNZ2
TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN	Q13509
TBB3_HUMAN;TBB4A_HUMAN	Q13509
TBB4A_HUMAN	P04350
TBB4B_HUMAN	P68371
TBB2A_HUMAN;TBB2B_HUMAN	Q13885
TBB2A_HUMAN	Q13885
TBB5_HUMAN	P07437
CPNE4_HUMAN	Q96A23
CNPY2_HUMAN	Q9Y2B0
SHSA7_HUMAN	A6NL88
MBB1A_HUMAN	Q9BQG0
NEC1_HUMAN	P29120
MYG1_HUMAN	Q9HB07
GAK_HUMAN	O14976
CCD86_HUMAN	Q9H6F5
TTYH3_HUMAN	Q9C0H2
RETR3_HUMAN	Q86VR2
TF3C1_HUMAN	Q12789
KAT1_HUMAN	Q16773
IMPA2_HUMAN	O14732
TNPO1_HUMAN;TNPO2_HUMAN	Q92973
NCPR_HUMAN	P16435
H1X_HUMAN	Q92522
APOA4_HUMAN	P06727
ADPRS_HUMAN	Q9NX46
CUL3_HUMAN	Q13618
DDB1_HUMAN	Q16531
NDUA7_HUMAN	O95182
CCAR2_HUMAN	Q8N163
DHX15_HUMAN	O43143
ATM_HUMAN	Q13315
GNA13_HUMAN	Q14344
SCFD2_HUMAN	Q8WU76
GNAS1_HUMAN	Q5JWF2
NECA2_HUMAN	Q7Z6G3
MATR3_HUMAN	P43243
PCM1_HUMAN	Q15154
SH3G2_HUMAN	Q99962
BCAR1_HUMAN	P56945
GRM5_HUMAN	P41594
KDM3A_HUMAN	Q9Y4C1
PACN3_HUMAN	Q9UKS6
DPP3_HUMAN	Q9NY33
NFL_HUMAN	P07196
NEP_HUMAN	P08473
PAK1_HUMAN;PAK2_HUMAN	Q13153
PAK3_HUMAN	O75914
RSU1_HUMAN	Q15404
ITSN2_HUMAN	Q9NZM3
PNPT1_HUMAN	Q8TCS8
PIPSL_HUMAN	A2A3N6
OSTF1_HUMAN	Q92882
RT27_HUMAN	Q92552
PEDF_HUMAN	P36955
CYFP2_HUMAN	Q96F07
VPS28_HUMAN	Q9UK41
SYT7_HUMAN	O43581
RRP12_HUMAN	Q5JTH9
NRBP2_HUMAN	Q9NSY0
SYT3_HUMAN	Q9BQG1
RBGPR_HUMAN	Q9H2M9
CSN3_HUMAN	Q9UNS2
BRE1A_HUMAN	Q5VTR2
GALD1_HUMAN	Q8NB37
SDF2L_HUMAN	Q9HCN8
SDF2_HUMAN	Q99470
MEMO1_HUMAN	Q9Y316
PRS6A_HUMAN	P17980
PFKAP_HUMAN	Q01813
TOR1A_HUMAN	O14656
LCMT1_HUMAN	Q9UIC8
GNAI2_HUMAN	P04899
MX2_HUMAN	P20592
IF5_HUMAN	P55010
NDKM_HUMAN	O00746
CISD1_HUMAN	Q9NZ45
LC7L2_HUMAN	Q9Y383
RM40_HUMAN	Q9NQ50
PMEL_HUMAN	P40967
VTI1B_HUMAN	Q9UEU0
DECR_HUMAN	Q16698
ELOC_HUMAN	Q15369
PFKAL_HUMAN	P17858
IMDH2_HUMAN	P12268
ITPR3_HUMAN	Q14573
UGPA_HUMAN	Q16851
ASNS_HUMAN	P08243
EPN1_HUMAN	Q9Y6I3
S100B_HUMAN	P04271
NUB1_HUMAN	Q9Y5A7
NEBL_HUMAN	O76041
LETM1_HUMAN	O95202
NDUB9_HUMAN	Q9Y6M9
VINEX_HUMAN	O60504
ARVC_HUMAN	O00192
LIMS1_HUMAN	P48059
GPDA_HUMAN	P21695
FBRL_HUMAN	P22087
PRRT2_HUMAN	Q7Z6L0
PLST_HUMAN	P13797
DLG4_HUMAN	P78352
PGLT1_HUMAN	Q8NBL1
PCDH1_HUMAN	Q08174
AL9A1_HUMAN	P49189
PITM3_HUMAN	Q9BZ71
FTO_HUMAN	Q9C0B1
FIP1_HUMAN	Q6UN15
KIF5C_HUMAN	O60282
AIF1L_HUMAN	Q9BQI0
DP13B_HUMAN	Q8NEU8
HNRL2_HUMAN	Q1KMD3
SFXN1_HUMAN	Q9H9B4
MDN1_HUMAN	Q9NU22
PMGT2_HUMAN	Q8NAT1
RAB8A_HUMAN	P61006
SAE2_HUMAN	Q9UBT2
MBLC2_HUMAN	Q68D91
DRA_HUMAN	P01903
KDIS_HUMAN	Q9ULH0
ARMC8_HUMAN	Q8IUR7
RECQ1_HUMAN	P46063
CN093_HUMAN	Q9H972
OSBL8_HUMAN	Q9BZF1
SGF29_HUMAN	Q96ES7
XRCC5_HUMAN	P13010
IGLC1_HUMAN;IGLL5_HUMAN	P0CG04
HYES_HUMAN	P34913
ATX2_HUMAN	Q99700
RTRAF_HUMAN	Q9Y224
A16L1_HUMAN	Q676U5
DLGP1_HUMAN	O14490
SH3K1_HUMAN	Q96B97
AL1L2_HUMAN	Q3SY69
RENR_HUMAN	O75787
SYN3_HUMAN	O14994
CD2AP_HUMAN	Q9Y5K6
ITIH4_HUMAN	Q14624
SDCB1_HUMAN	O00560
XPOT_HUMAN	O43592
TBL2_HUMAN	Q9Y4P3
ALS_HUMAN	P35858
PCYXL_HUMAN	Q8NBM8
LIPA2_HUMAN	O75334
SMCA1_HUMAN;SMCA5_HUMAN	P28370
ARMD3_HUMAN	Q5T2E6
C99L2_HUMAN	Q8TCZ2
PGBD5_HUMAN	Q8N414
EMIL1_HUMAN	Q9Y6C2
PML_HUMAN	P29590
PTH2_HUMAN	Q9Y3E5
XRP2_HUMAN	O75695
EZRI_HUMAN;MOES_HUMAN;RADI_HUMAN	P15311
DIDO1_HUMAN	Q9BTC0
HEBP2_HUMAN	Q9Y5Z4
UBR1_HUMAN	Q8IWV7
TMLH_HUMAN	Q9NVH6
PRP4B_HUMAN	Q13523
MK01_HUMAN;MK03_HUMAN	P28482
CDK7_HUMAN	P50613
ACTY_HUMAN	P42025
E41L1_HUMAN	Q9H4G0
MK10_HUMAN	P53779
AP1B1_HUMAN	Q10567
H90B3_HUMAN;HS90B_HUMAN	Q58FF7
FXYD6_HUMAN	Q9H0Q3
GLUCM_HUMAN	Q7Z3D6
NDUS2_HUMAN	O75306
AMER2_HUMAN	Q8N7J2
ABCB6_HUMAN	Q9NP58
TRUA_HUMAN	Q9Y606
YTHD2_HUMAN	Q9Y5A9
CPZIP_HUMAN	Q6JBY9
E41L2_HUMAN	O43491
SRBS2_HUMAN	O94875
DDX17_HUMAN;DDX5_HUMAN	Q92841
IDH3A_HUMAN	P50213
BT3L4_HUMAN	Q96K17
AOFB_HUMAN	P27338
BTF3_HUMAN	P20290
PSME1_HUMAN	Q06323
PPP6_HUMAN	O00743
LYSM2_HUMAN	Q8IV50
SYIC_HUMAN	P41252
DDX17_HUMAN	Q92841
VGF_HUMAN	O15240
LEO1_HUMAN	Q8WVC0
INO1_HUMAN	Q9NPH2
WDR12_HUMAN	Q9GZL7
COPE_HUMAN	O14579
ERF_HUMAN	P50548
CERS2_HUMAN	Q96G23
CHMP5_HUMAN	Q9NZZ3
AATC_HUMAN	P17174
BAZ1B_HUMAN	Q9UIG0
RPRD2_HUMAN	Q5VT52
AMBP_HUMAN	P02760
PDCD4_HUMAN	Q53EL6
CAN1_HUMAN	P07384
RT18B_HUMAN	Q9Y676
DDX10_HUMAN	Q13206
ANR17_HUMAN	O75179
EIF2A_HUMAN	Q9BY44
K1C16_HUMAN	P08779
KAD2_HUMAN	P54819
CRYAB_HUMAN	P02511
KPCG_HUMAN	P05129
MK01_HUMAN	P28482
SEC63_HUMAN	Q9UGP8
PEBP1_HUMAN	P30086
AGFG1_HUMAN	P52594
TB182_HUMAN	Q9C0C2
NCAN_HUMAN	O14594
FPRP_HUMAN	Q9P2B2
BCCIP_HUMAN	Q9P287
NELFB_HUMAN	Q8WX92
PNM8B_HUMAN	Q9ULN7
ATPD_HUMAN	P30049
PDXK_HUMAN	O00764
L2HDH_HUMAN	Q9H9P8
NFH_HUMAN	P12036
LTOR2_HUMAN	Q9Y2Q5
RASL3_HUMAN	Q86YV0
TBCB_HUMAN	Q99426
CNTN2_HUMAN	Q02246
AT2B1_HUMAN	P20020
SC31A_HUMAN	O94979
NBAS_HUMAN	A2RRP1
LZTL1_HUMAN	Q9NQ48
ILF2_HUMAN	Q12905
DGKZ_HUMAN	Q13574
KIF2A_HUMAN	O00139
PPOX_HUMAN	P50336
PTEN_HUMAN	P60484
PLIN3_HUMAN	O60664
SCAM5_HUMAN	Q8TAC9
FA98A_HUMAN	Q8NCA5
GLRX1_HUMAN	P35754
E41L3_HUMAN	Q9Y2J2
HDHD5_HUMAN	Q9BXW7
CZIB_HUMAN	Q9NWV4
GRP75_HUMAN	P38646
HS74L_HUMAN	O95757
FYN_HUMAN	P06241
NXF1_HUMAN	Q9UBU9
PTGDS_HUMAN	P41222
RAB15_HUMAN	P59190
BLMH_HUMAN	Q13867
AMPN_HUMAN	P15144
ODB2_HUMAN	P11182
RB11B_HUMAN	Q15907
ARSA_HUMAN	P15289
ST4A1_HUMAN	Q9BR01
STAT2_HUMAN	P52630
UBP14_HUMAN	P54578
CFAI_HUMAN	P05156
TFG_HUMAN	Q92734
MYPT1_HUMAN	O14974
GIMA4_HUMAN	Q9NUV9
RABE2_HUMAN	Q9H5N1
COLA1_HUMAN	Q96P44
SPF30_HUMAN	O75940
FAK1_HUMAN	Q05397
SAP30_HUMAN	O75446
SAE1_HUMAN	Q9UBE0
GSH1_HUMAN	P48506
IMA4_HUMAN	O00505
DCLK1_HUMAN	O15075
HINT2_HUMAN	Q9BX68
UBQL4_HUMAN	Q9NRR5
PEBB_HUMAN	Q13951
SCAM3_HUMAN	O14828
SCAM1_HUMAN	O15126
GLU2B_HUMAN	P14314
CLPX_HUMAN	O76031
LZTS3_HUMAN	O60299
PLCD3_HUMAN	Q8N3E9
RAE1L_HUMAN	P78406
DTNA_HUMAN	Q9Y4J8
LZTS1_HUMAN	Q9Y250
PLCG1_HUMAN	P19174
KANK2_HUMAN	Q63ZY3
BET1L_HUMAN	Q9NYM9
HLAA_HUMAN	P04439
FXL18_HUMAN	Q96ME1
GRWD1_HUMAN	Q9BQ67
ICA69_HUMAN	Q05084
C2C4C_HUMAN	Q8TF44
TPX2_HUMAN	Q9ULW0
SEP10_HUMAN	Q9P0V9
HINT1_HUMAN	P49773
GOGA5_HUMAN	Q8TBA6
ARM10_HUMAN	Q8N2F6
PLOD1_HUMAN	Q02809
CAPG_HUMAN	P40121
FBX2_HUMAN	Q9UK22
CIB1_HUMAN	Q99828
THOC6_HUMAN	Q86W42
ARMX3_HUMAN	Q9UH62
HMCN1_HUMAN	Q96RW7
PHB2_HUMAN	Q99623
NEMO_HUMAN	Q9Y6K9
THBG_HUMAN	P05543
PNCB_HUMAN	Q6XQN6
ZA2G_HUMAN	P25311
CASPE_HUMAN	P31944
SART3_HUMAN	Q15020
SF3A3_HUMAN	Q12874
HS71L_HUMAN	P34931
HS71A_HUMAN;HSP76_HUMAN	P0DMV8
HSP72_HUMAN;HSP7C_HUMAN	P54652
HSP7C_HUMAN	P11142
FKBP3_HUMAN	Q00688
RGS6_HUMAN	P49758
ST32C_HUMAN	Q86UX6
ACBD7_HUMAN	Q8N6N7
HOIL1_HUMAN	Q9BYM8
PARVB_HUMAN	Q9HBI1
RM48_HUMAN	Q96GC5
ROBO1_HUMAN	Q9Y6N7
CRCDL_HUMAN	Q6NV74
GRDN_HUMAN	Q3V6T2
CCD47_HUMAN	Q96A33
VIME_HUMAN	P08670
TPD52_HUMAN	P55327
GDN_HUMAN	P07093
GBG12_HUMAN	Q9UBI6
AATM_HUMAN	P00505
FSCN1_HUMAN	Q16658
ODO2_HUMAN	P36957
RAB3D_HUMAN	O95716
PSB8_HUMAN	P28062
COEA1_HUMAN	Q05707
WAC2A_HUMAN	Q641Q2
ISOC1_HUMAN	Q96CN7
HSPB6_HUMAN	O14558
VWA1_HUMAN	Q6PCB0
TGFI1_HUMAN	O43294
HXK3_HUMAN	P52790
CLCN6_HUMAN	P51797
C2CD5_HUMAN	Q86YS7
GUAD_HUMAN	Q9Y2T3
CAHM6_HUMAN	Q5R3K3
GALM_HUMAN	Q96C23
CSN6_HUMAN	Q7L5N1
CDC37_HUMAN	Q16543
SPG7_HUMAN	Q9UQ90
MEF2D_HUMAN	Q14814
F1711_HUMAN	Q5VUB5
EM55_HUMAN	Q00013
NUP88_HUMAN	Q99567
AP2M1_HUMAN	Q96CW1
DYN1_HUMAN	Q05193
C2D1A_HUMAN	Q6P1N0
NISCH_HUMAN	Q9Y2I1
SNF5_HUMAN	Q12824
PRP31_HUMAN	Q8WWY3
ASML_HUMAN	O95671
IF6_HUMAN	P56537
MFR1L_HUMAN	Q9H019
RD23B_HUMAN	P54727
TNIK_HUMAN	Q9UKE5
TRXR2_HUMAN	Q9NNW7
FMN2_HUMAN	Q9NZ56
HXK2_HUMAN	P52789
NP1L4_HUMAN	Q99733
CMC2_HUMAN	Q9UJS0
EXOSX_HUMAN	Q01780
LTBP1_HUMAN	Q14766
RL8_HUMAN	P62917
H12_HUMAN;H13_HUMAN;H14_HUMAN	P16403
STMN1_HUMAN	P16949
AL4A1_HUMAN	P30038
COF1_HUMAN	P23528
SCRN1_HUMAN	Q12765
KVD40_HUMAN	P01614
COF2_HUMAN	Q9Y281
DPP2_HUMAN	Q9UHL4
ARPC2_HUMAN	O15144
NGAP_HUMAN	Q9UJF2
SGIP1_HUMAN	Q9BQI5
NCDN_HUMAN	Q9UBB6
SEPT2_HUMAN	Q15019
KAD5_HUMAN	Q9Y6K8
CAH4_HUMAN	P22748
CYH3_HUMAN	O43739
SF3A1_HUMAN	Q15459
RTKN_HUMAN	Q9BST9
ZCCHV_HUMAN	Q7Z2W4
AMPE_HUMAN	Q07075
CBPM_HUMAN	P14384
TS101_HUMAN	Q99816
TOR4A_HUMAN	Q9NXH8
DHX36_HUMAN	Q9H2U1
VA0D2_HUMAN	Q8N8Y2
WIPF2_HUMAN	Q8TF74
C1QT5_HUMAN	Q9BXJ0
HMHA1_HUMAN	Q92619
CDK18_HUMAN	Q07002
WNK2_HUMAN	Q9Y3S1
SPRL1_HUMAN	Q14515
CA198_HUMAN	Q9H425
UTP6_HUMAN	Q9NYH9
SNAG_HUMAN	Q99747
ANS1A_HUMAN	Q92625
RBM25_HUMAN	P49756
COPA_HUMAN	P53621
SORL_HUMAN	Q92673
DJC10_HUMAN	Q8IXB1
ARHGB_HUMAN	O15085
EXOC2_HUMAN	Q96KP1
LRC25_HUMAN	Q8N386
FKB10_HUMAN	Q96AY3
KPRB_HUMAN	O60256
KPRA_HUMAN	Q14558
CNTN1_HUMAN	Q12860
TOP2B_HUMAN	Q02880
SYIM_HUMAN	Q9NSE4
CNPY3_HUMAN	Q9BT09
INP4A_HUMAN	Q96PE3
PLCD1_HUMAN	P51178
MDEAS_HUMAN	Q6PJG2
ITA1_HUMAN	P56199
USO1_HUMAN	O60763
SH3G3_HUMAN	Q99963
RPGP2_HUMAN	Q684P5
ARC1B_HUMAN	O15143
CLUS_HUMAN	P10909
ZEB2_HUMAN	O60315
PP4R1_HUMAN	Q8TF05
SKIV2_HUMAN	Q15477
PKN2_HUMAN	Q16513
IF4G2_HUMAN	P78344
NEB2_HUMAN	Q96SB3
NC2B_HUMAN	Q01658
NSF1C_HUMAN	Q9UNZ2
CLIP1_HUMAN	P30622
ILKAP_HUMAN	Q9H0C8
FAAA_HUMAN	P16930
MK03_HUMAN	P27361
CHP1_HUMAN	Q99653
PSD10_HUMAN	O75832
KCC2D_HUMAN	Q13557
ULK3_HUMAN	Q6PHR2
PLRG1_HUMAN	O43660
GLRX3_HUMAN	O76003
MCES_HUMAN	O43148
AJAP1_HUMAN	Q9UKB5
CKAP4_HUMAN	Q07065
DTD1_HUMAN	Q8TEA8
COX41_HUMAN	P13073
TEX2_HUMAN	Q8IWB9
GRB2_HUMAN	P62993
SV2B_HUMAN	Q7L1I2
PSB5_HUMAN	P28074
HS71A_HUMAN;HS71L_HUMAN;HSP76_HUMAN	P0DMV8
RBM4_HUMAN	Q9BWF3
PAK5_HUMAN	Q9P286
LBP_HUMAN	P18428
NEUM_HUMAN	P17677
STK4_HUMAN	Q13043
ABR_HUMAN	Q12979
PRDX2_HUMAN	P32119
PSA4_HUMAN	P25789
TPM1_HUMAN	P09493
SAC1_HUMAN	Q9NTJ5
IDHC_HUMAN	O75874
PDE2A_HUMAN	O00408
TRNT1_HUMAN	Q96Q11
CCG2_HUMAN	Q9Y698
GDPP1_HUMAN	Q6ZNW5
ECI2_HUMAN	O75521
CAVN1_HUMAN	Q6NZI2
HNRH3_HUMAN	P31942
HNRH2_HUMAN	P55795
HNRH1_HUMAN;HNRPF_HUMAN	P31943
RM04_HUMAN	Q9BYD3
KAD1_HUMAN	P00568
FKBP4_HUMAN	Q02790
WDR4_HUMAN	P57081
APOH_HUMAN	P02749
GDIR2_HUMAN	P52566
PLAL1_HUMAN	Q9UM63
RBM12_HUMAN	Q9NTZ6
H15_HUMAN	P16401
SCYL1_HUMAN	Q96KG9
AP3B1_HUMAN	O00203
CPSM_HUMAN	P31327
CACB4_HUMAN	O00305
RAB7A_HUMAN	P51149
RAB32_HUMAN;RAB38_HUMAN	Q13637
HDA11_HUMAN	Q96DB2
LRC59_HUMAN	Q96AG4
NDE1_HUMAN	Q9NXR1
PTPRG_HUMAN	P23470
P4HA1_HUMAN	P13674
BORC6_HUMAN	Q96GS4
KCC2A_HUMAN	Q9UQM7
HBG1_HUMAN	P69891
KAIN_HUMAN	P29622
LGUL_HUMAN	Q04760
ARFG3_HUMAN	Q9NP61
BCAT1_HUMAN	P54687
ACAD9_HUMAN	Q9H845
CAPS1_HUMAN;CAPS2_HUMAN	Q9ULU8
NASP_HUMAN	P49321
ANM1_HUMAN	Q99873
RHG23_HUMAN	Q9P227
GBRB1_HUMAN	P18505
NCBP1_HUMAN	Q09161
RL1D1_HUMAN	O76021
CSDE1_HUMAN	O75534
KS6A3_HUMAN	P51812
EPN4_HUMAN	Q14677
SIRB1_HUMAN	O00241
DPB1_HUMAN	P04440
FPPS_HUMAN	P14324
MADD_HUMAN	Q8WXG6
CPSF7_HUMAN	Q8N684
IF4A1_HUMAN	P60842
GRPE1_HUMAN	Q9HAV7
STA5B_HUMAN	P51692
NOP14_HUMAN	P78316
PPM1E_HUMAN	Q8WY54
TOE1_HUMAN	Q96GM8
RM03_HUMAN	P09001
DCTN4_HUMAN	Q9UJW0
OR8D2_HUMAN	Q9GZM6
MYL9_HUMAN	P24844
PKCB1_HUMAN	Q9ULU4
DHB4_HUMAN	P51659
LIFR_HUMAN	P42702
KCC2G_HUMAN	Q13555
RN220_HUMAN	Q5VTB9
PICAL_HUMAN	Q13492
RETR2_HUMAN	Q8NC44
RGS12_HUMAN	O14924
PEX14_HUMAN	O75381
ACBG1_HUMAN	Q96GR2
PLMN_HUMAN	P00747
LIN7A_HUMAN;LIN7C_HUMAN	O14910
PDK2_HUMAN	Q15119
AGK_HUMAN	Q53H12
A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146;PZP_HUMAN	P01023
A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146	P01023
RFA1_HUMAN	P27694
REEP5_HUMAN	Q00765
BRAT1_HUMAN	Q6PJG6
RETST_HUMAN	Q6NUM9
A1BG_HUMAN	P04217
SVIL_HUMAN	O95425
ACDSB_HUMAN	P45954
AP2A_HUMAN	P05549
ODBA_HUMAN	P12694
ABHEB_HUMAN	Q96IU4
SERPH_HUMAN	P50454
TRI33_HUMAN	Q9UPN9
CC127_HUMAN	Q96BQ5
RHG04_HUMAN	P98171
TSP3_HUMAN	P49746
ANR28_HUMAN	O15084
MYO1C_HUMAN	O00159
CSTF2_HUMAN;CSTFT_HUMAN	P33240
VPS4B_HUMAN	O75351
DPYL1_HUMAN;DPYL3_HUMAN	Q14194
ATL3_HUMAN	P82987
PSDE_HUMAN	O00487
ELP3_HUMAN	Q9H9T3
SPRE_HUMAN	P35270
TBA3E_HUMAN;TBA4A_HUMAN;TBA8_HUMAN	Q6PEY2
TBA4A_HUMAN;TBA8_HUMAN	P68366
TBA1C_HUMAN	Q9BQE3
MAN1_HUMAN	Q9Y2U8
RAB5A_HUMAN	P20339
AP2A2_HUMAN	O94973
DHX16_HUMAN	O60231
PO210_HUMAN	Q8TEM1
ADAP1_HUMAN	O75689
ATPA_HUMAN	P25705
WRIP1_HUMAN	Q96S55
UBP5_HUMAN	P45974
HEM4_HUMAN	P10746
AL1A3_HUMAN	P47895
SETD7_HUMAN	Q8WTS6
DLG1_HUMAN;DLG2_HUMAN	Q12959
EXOC5_HUMAN	O00471
PAPOA_HUMAN	P51003
S6A17_HUMAN	Q9H1V8
CD47_HUMAN	Q08722
LEMD2_HUMAN	Q8NC56
RAB5C_HUMAN	P51148
CNOT1_HUMAN	A5YKK6
NHRF2_HUMAN	Q15599
STX5_HUMAN	Q13190
MPPB_HUMAN	O75439
CA2D1_HUMAN	P54289
CCD22_HUMAN	O60826
PSB2_HUMAN	P49721
DAB2_HUMAN	P98082
PSA3_HUMAN	P25788
PDCD5_HUMAN	O14737
AACS_HUMAN	Q86V21
BL1S6_HUMAN	Q9UL45
CK5P2_HUMAN	Q96SN8
LIPB1_HUMAN	Q86W92
RB27B_HUMAN	O00194
MP2K4_HUMAN	P45985
GFPT1_HUMAN	Q06210
NRBP_HUMAN	Q9UHY1
GPNMB_HUMAN	Q14956
H1BP3_HUMAN	Q53T59
WASC4_HUMAN	Q2M389
TBA3E_HUMAN	Q6PEY2
UFL1_HUMAN	O94874
PRVA_HUMAN	P20472
HPTR_HUMAN;HPT_HUMAN	P00739
GALE_HUMAN	Q14376
NTRI_HUMAN	Q9P121
XPO1_HUMAN	O14980
AUHM_HUMAN	Q13825
ZRAB2_HUMAN	O95218
PMGE_HUMAN	P07738
CYFP1_HUMAN	Q7L576
CLU_HUMAN	O75153
PTPRT_HUMAN	O14522
SNX1_HUMAN	Q13596
PUSL1_HUMAN	Q8N0Z8
PZP_HUMAN	P20742
CSN9_HUMAN	Q8WXC6
MMP9_HUMAN	P14780
ITA2_HUMAN	P17301
DEST_HUMAN	P60981
ITAX_HUMAN	P20702
ATG4C_HUMAN	Q96DT6
KAD4_HUMAN	P27144
DCXR_HUMAN	Q7Z4W1
TTC4_HUMAN	O95801
S10AG_HUMAN	Q96FQ6
SAFB2_HUMAN	Q14151
MAP1A_HUMAN;MAP1B_HUMAN	P78559
N4BP1_HUMAN	O75113
CMPK2_HUMAN	Q5EBM0
AACT_HUMAN	P01011
ROGDI_HUMAN	Q9GZN7
MAT2B_HUMAN	Q9NZL9
PPR21_HUMAN	Q6ZMI0
EXOG_HUMAN	Q9Y2C4
NBEA_HUMAN	Q8NFP9
GLPK_HUMAN	P32189
COQ8A_HUMAN	Q8NI60
MIRO2_HUMAN	Q8IXI1
MIRO1_HUMAN	Q8IXI2
G6PI_HUMAN;sp|CONTAMINANT_Q3ZBD7	P06744
RAE2_HUMAN	P26374
TBG1_HUMAN	P23258
CAND2_HUMAN	O75155
SC23A_HUMAN;SC23B_HUMAN	Q15436
RHOG_HUMAN	P84095
EFL1_HUMAN	Q7Z2Z2
DHRS7_HUMAN	Q9Y394
ERO1A_HUMAN	Q96HE7
A1AT_HUMAN	P01009
NNRD_HUMAN	Q8IW45
AKAP2_HUMAN	Q9Y2D5
DHX29_HUMAN	Q7Z478
TBB4A_HUMAN;TBB4B_HUMAN;TBB8_HUMAN	P04350
BDH_HUMAN	Q02338
PLOD3_HUMAN	O60568
PLPHP_HUMAN	O94903
CKAP5_HUMAN	Q14008
STX6_HUMAN	O43752
SNX2_HUMAN	O60749
MCCA_HUMAN	Q96RQ3
UNC5A_HUMAN	Q6ZN44
FAHD1_HUMAN	Q6P587
NAMPT_HUMAN	P43490
PP2BA_HUMAN	Q08209
ARL15_HUMAN	Q9NXU5
RMD3_HUMAN	Q96TC7
PSMD2_HUMAN	Q13200
PHIPL_HUMAN;PHYIP_HUMAN	Q96FC7
F13A_HUMAN	P00488
S35B2_HUMAN	Q8TB61
UGDH_HUMAN	O60701
K1549_HUMAN	Q9HCM3
KBP_HUMAN	Q96EK5
MIO_HUMAN	Q9NXC5
F120B_HUMAN	Q96EK7
PANK4_HUMAN	Q9NVE7
CPSF6_HUMAN	Q16630
TIMP2_HUMAN	P16035
F120C_HUMAN	Q9NX05
SHPK_HUMAN	Q9UHJ6
UFD1_HUMAN	Q92890
VP13C_HUMAN	Q709C8
PORCN_HUMAN	Q9H237
NAC1_HUMAN	P32418
PERM_HUMAN	P05164
OX2G_HUMAN	P41217
LAIR1_HUMAN	Q6GTX8
PTPRM_HUMAN	P28827
VGFR1_HUMAN	P17948
SYWM_HUMAN	Q9UGM6
CAH8_HUMAN	P35219
DRB1_HUMAN;DRB5_HUMAN	P01911
1433F_HUMAN	Q04917
1433T_HUMAN	P27348
1433B_HUMAN	P31946
